C1,C2,C3,C4,C5,Label
4,5,1,0,0,C2
4,1,1,0,1,C1
1,1,0,1,1,C4
2,6,3,2,1,C3
3,7,1,1,0,C2
0,6,1,0,2,C5
3,6,1,1,0,C2
5,4,2,1,1,C1
4,6,2,1,0,C2
4,2,1,0,0,C1
5,3,1,1,0,C1
5,5,2,1,1,C1
3,4,1,1,0,C2
5,3,0,0,0,C1
5,3,1,1,0,C1
2,5,3,0,2,C3
4,6,0,2,0,C4
5,1,1,0,0,C1
5,5,1,0,1,C1
5,5,2,0,0,C1
6,3,1,1,1,C1
3,6,3,2,2,C3
6,4,2,0,0,C1
1,3,1,1,0,C4
6,2,2,1,0,C1
5,5,0,0,0,C1
5,3,1,0,2,C5
6,8,0,0,0,C2
5,4,0,2,1,C4
5,4,1,0,0,C1
3,6,3,2,0,C3
6,3,2,0,1,C1
5,5,1,0,0,C1
5,0,3,0,1,C3
5,8,1,1,0,C2
3,8,2,0,0,C2
4,3,0,0,0,C1
2,5,3,0,2,C3
5,6,2,0,0,C2
4,6,0,1,1,C2
4,4,0,0,0,C1
2,3,2,0,2,C5
5,2,0,1,1,C1
1,1,3,2,0,C3
5,3,1,0,1,C1
2,7,0,0,0,C2
7,5,1,2,0,C1
5,7,2,2,0,C4
6,2,2,0,0,C1
4,2,3,0,0,C3
2,6,0,1,0,C2
4,3,2,1,1,C3
5,3,0,0,0,C1
1,5,1,0,0,C2
3,5,2,0,0,C3
5,2,1,0,2,C5
3,6,2,0,2,C5
5,4,0,0,0,C1
2,2,2,1,0,C3
5,5,0,0,1,C1
4,2,2,0,0,C3
4,5,1,0,0,C2
5,7,2,1,0,C2
2,3,2,2,0,C4
3,7,0,0,1,C2
5,4,0,1,0,C1
4,4,0,1,0,C1
2,3,1,1,0,C4
2,4,3,1,0,C3
2,1,2,1,1,C3
5,4,2,0,0,C1
4,3,0,0,1,C1
1,7,2,0,0,C2
4,1,2,1,1,C3
3,4,3,0,0,C3
3,5,0,1,0,C2
4,3,1,0,0,C1
4,7,2,0,0,C2
4,5,1,0,0,C2
1,3,0,1,1,C4
4,4,2,0,0,C3
1,3,2,1,0,C3
6,3,1,0,1,C1
4,7,0,1,0,C2
2,6,3,2,2,C3
2,6,3,0,0,C3
3,2,1,0,0,C1
2,4,0,0,0,C2
0,4,3,0,0,C3
6,2,2,1,0,C1
4,3,0,1,1,C1
3,3,0,0,1,C5
5,4,1,0,0,C1
0,5,1,1,2,C5
2,3,2,2,2,C4
3,6,3,0,0,C3
1,6,2,0,1,C2
5,0,0,1,0,C1
5,4,2,1,1,C1
7,4,1,2,2,C1
5,8,0,0,0,C2
2,2,1,0,1,C5
7,8,0,0,0,C2
4,3,2,0,1,C3
4,7,0,1,0,C2
2,5,2,1,1,C3
5,6,1,0,1,C2
4,2,3,1,1,C3
4,6,2,0,0,C2
6,8,3,2,1,C2
4,6,1,0,0,C2
2,6,1,0,0,C2
7,2,0,1,0,C1
5,1,2,1,1,C1
1,5,1,0,0,C2
2,4,0,0,0,C2
2,4,0,0,0,C2
6,3,0,0,0,C1
3,1,3,1,2,C3
3,3,1,1,0,C4
1,7,2,0,0,C2
6,2,1,0,0,C1
5,1,0,1,1,C1
5,3,1,0,0,C1
5,8,2,1,0,C2
6,2,2,0,0,C1
2,5,0,1,1,C2
6,6,2,1,0,C1
4,4,1,2,1,C4
7,5,3,1,1,C1
5,6,1,1,0,C2
0,5,1,1,0,C2
3,4,1,0,0,C2
2,7,2,1,0,C2
3,8,0,0,0,C2
0,6,2,1,1,C2
5,3,2,0,1,C1
1,4,0,0,0,C2
5,6,1,1,2,C5
4,5,2,0,2,C5
3,5,2,0,0,C3
1,3,2,0,2,C5
3,0,2,1,0,C3
5,5,2,1,0,C1
4,4,3,0,1,C3
4,5,2,1,0,C3
4,5,3,0,0,C3
5,3,1,0,1,C1
3,5,1,1,2,C5
4,3,2,1,0,C3
0,6,1,2,2,C4
5,6,1,0,1,C2
0,6,2,1,1,C2
3,4,1,0,1,C2
5,1,2,0,0,C1
1,6,1,2,0,C4
0,2,0,1,0,C4
7,4,1,0,0,C1
5,6,1,0,0,C2
1,5,3,0,0,C3
4,7,1,0,0,C2
5,5,1,1,1,C1
4,4,1,0,0,C1
4,2,1,0,0,C1
1,3,3,1,1,C3
3,5,1,0,2,C5
3,6,2,0,2,C5
2,3,1,2,1,C4
4,3,0,1,0,C1
0,4,2,2,1,C4
4,6,1,0,0,C2
3,3,2,0,1,C3
4,6,0,1,0,C2
1,4,2,0,0,C3
4,5,1,0,0,C2
2,2,3,0,0,C3
4,6,1,0,2,C5
4,4,3,2,0,C3
2,0,2,1,1,C3
3,5,1,0,1,C2
3,4,1,0,0,C2
6,5,2,1,0,C1
7,6,1,1,1,C1
7,4,2,0,2,C1
4,3,2,2,1,C4
2,5,1,2,1,C4
4,6,0,1,0,C2
4,3,0,0,1,C1
3,8,1,1,0,C2
6,5,2,1,2,C5
1,4,1,1,0,C2
5,4,1,1,0,C1
7,5,1,0,1,C1
6,3,2,0,1,C1
5,1,3,0,0,C3
2,5,1,0,1,C2
5,5,0,0,0,C1
6,4,0,0,0,C1
5,7,1,2,0,C4
4,0,3,1,0,C3
5,5,0,1,0,C1
2,5,2,0,0,C3
3,5,3,0,0,C3
5,2,2,0,0,C1
5,3,1,1,2,C5
3,7,2,0,1,C2
5,7,0,0,0,C2
3,6,2,0,0,C2
4,2,0,0,0,C1
6,4,0,0,2,C5
6,1,2,0,0,C1
7,3,3,0,0,C1
6,3,2,0,0,C1
4,3,3,0,1,C3
2,4,0,0,0,C2
1,5,1,0,1,C2
1,6,0,2,1,C4
6,4,1,1,2,C5
5,3,2,0,2,C5
2,2,1,2,0,C4
4,6,2,2,0,C4
3,4,0,0,1,C2
4,5,1,0,0,C2
5,7,2,1,2,C5
1,5,0,0,1,C2
1,4,1,1,1,C2
5,6,2,0,1,C2
3,6,2,1,0,C2
5,1,2,0,0,C1
1,8,1,0,1,C2
7,6,2,0,0,C1
3,6,0,1,0,C2
6,2,1,0,1,C1
3,4,1,0,1,C2
5,1,1,2,0,C4
6,4,0,0,0,C1
4,5,1,0,0,C2
3,5,2,0,1,C3
5,3,3,0,0,C3
2,4,1,1,0,C2
4,5,2,1,0,C3
5,3,3,2,2,C3
7,1,1,0,0,C1
2,3,0,2,0,C4
5,6,3,0,1,C3
1,2,1,0,1,C5
3,6,1,0,1,C2
4,4,0,0,0,C1
4,5,1,0,0,C2
3,3,2,1,0,C3
